family,designation,source_row_id,source_edition,source_edition_count,catalog_scope
2L,2L,11202,LRFD1,1,modern
2L,2L1.25X1.25X0.125,13844,ASD7,1,modern
2L,2L1.25X1.25X0.1875,13843,ASD7,1,modern
2L,2L1.25X1.25X0.25,13842,ASD7,1,modern
2L,2L1.5X1.5X0.125,13841,ASD7,1,modern
2L,2L1.5X1.5X0.15625,13840,ASD7,1,modern
2L,2L1.5X1.5X0.1875,13839,ASD7,1,modern
2L,2L1.5X1.5X0.25,13838,ASD7,1,modern
2L,2L1.75X1.25X0.125,13681,ASD7,1,modern
2L,2L1.75X1.25X0.1875,13680,ASD7,1,modern
2L,2L1.75X1.25X0.25,13679,ASD7,1,modern
2L,2L1.75X1.75X0.125,13837,ASD7,1,modern
2L,2L1.75X1.75X0.1875,13836,ASD7,1,modern
2L,2L1.75X1.75X0.25,13835,ASD7,1,modern
2L,2L10X10X0.5625,13795,ASD7,1,modern
2L,2L10X10X1,906,15th,1,modern
2L,2L10X10X1-1/4,900,15th,1,modern
2L,2L10X10X1-1/4X1-1/2,902,15th,1,modern
2L,2L10X10X1-1/4X3/4,901,15th,1,modern
2L,2L10X10X1-1/8,903,15th,1,modern
2L,2L10X10X1-1/8X1-1/2,905,15th,1,modern
2L,2L10X10X1-1/8X3/4,904,15th,1,modern
2L,2L10X10X1-3/8,897,15th,1,modern
2L,2L10X10X1-3/8X1-1/2,899,15th,1,modern
2L,2L10X10X1-3/8X3/4,898,15th,1,modern
2L,2L10X10X1X1-1/2,908,15th,1,modern
2L,2L10X10X1X3/4,907,15th,1,modern
2L,2L10X10X3/4,912,15th,1,modern
2L,2L10X10X3/4X1-1/2,914,15th,1,modern
2L,2L10X10X3/4X3/4,913,15th,1,modern
2L,2L10X10X7/8,909,15th,1,modern
2L,2L10X10X7/8X1-1/2,911,15th,1,modern
2L,2L10X10X7/8X3/4,910,15th,1,modern
2L,2L11X11X0.5,13796,ASD7,1,modern
2L,2L12X12X0.4375,13797,ASD7,1,modern
2L,2L12X12X1,894,15th,1,modern
2L,2L12X12X1-1/4,888,15th,1,modern
2L,2L12X12X1-1/4X1-1/2,890,15th,1,modern
2L,2L12X12X1-1/4X3/4,889,15th,1,modern
2L,2L12X12X1-1/8,891,15th,1,modern
2L,2L12X12X1-1/8X1-1/2,893,15th,1,modern
2L,2L12X12X1-1/8X3/4,892,15th,1,modern
2L,2L12X12X1-3/8,885,15th,1,modern
2L,2L12X12X1-3/8X1-1/2,887,15th,1,modern
2L,2L12X12X1-3/8X3/4,886,15th,1,modern
2L,2L12X12X1X1-1/2,896,15th,1,modern
2L,2L12X12X1X3/4,895,15th,1,modern
2L,2L13X13X0.375,13798,ASD7,1,modern
2L,2L14X14X0.3125,13799,ASD7,1,modern
2L,2L1X1X0.125,13847,ASD7,1,modern
2L,2L1X1X0.1875,13846,ASD7,1,modern
2L,2L1X1X0.25,13845,ASD7,1,modern
2L,2L2-1/2X1-1/2X1/4SLBB,1518,15th,2,modern
2L,2L2-1/2X1-1/2X1/4X3/4SLBB,1520,15th,2,modern
2L,2L2-1/2X1-1/2X1/4X3/8SLBB,1519,15th,2,modern
2L,2L2-1/2X1-1/2X3/16SLBB,1521,15th,2,modern
2L,2L2-1/2X1-1/2X3/16X3/4SLBB,1523,15th,2,modern
2L,2L2-1/2X1-1/2X3/16X3/8SLBB,1522,15th,2,modern
2L,2L2-1/2X2-1/2X1/2,1038,15th,4,modern
2L,2L2-1/2X2-1/2X1/2X3/4,1040,15th,4,modern
2L,2L2-1/2X2-1/2X1/2X3/8,1039,15th,4,modern
2L,2L2-1/2X2-1/2X1/4,1047,15th,5,modern
2L,2L2-1/2X2-1/2X1/4X3/4,1049,15th,5,modern
2L,2L2-1/2X2-1/2X1/4X3/8,1048,15th,5,modern
2L,2L2-1/2X2-1/2X3/16,1050,15th,5,modern
2L,2L2-1/2X2-1/2X3/16X3/4,1052,15th,5,modern
2L,2L2-1/2X2-1/2X3/16X3/8,1051,15th,5,modern
2L,2L2-1/2X2-1/2X3/8,1041,15th,5,modern
2L,2L2-1/2X2-1/2X3/8X3/4,1043,15th,5,modern
2L,2L2-1/2X2-1/2X3/8X3/8,1042,15th,5,modern
2L,2L2-1/2X2-1/2X5/16,1044,15th,5,modern
2L,2L2-1/2X2-1/2X5/16X3/4,1046,15th,5,modern
2L,2L2-1/2X2-1/2X5/16X3/8,1045,15th,5,modern
2L,2L2-1/2X2X1/4SLBB,1512,15th,5,modern
2L,2L2-1/2X2X1/4X3/4SLBB,1514,15th,5,modern
2L,2L2-1/2X2X1/4X3/8SLBB,1513,15th,5,modern
2L,2L2-1/2X2X3/16SLBB,1515,15th,5,modern
2L,2L2-1/2X2X3/16X3/4SLBB,1517,15th,5,modern
2L,2L2-1/2X2X3/16X3/8SLBB,1516,15th,5,modern
2L,2L2-1/2X2X3/8SLBB,1506,15th,5,modern
2L,2L2-1/2X2X3/8X3/4SLBB,1508,15th,5,modern
2L,2L2-1/2X2X3/8X3/8SLBB,1507,15th,5,modern
2L,2L2-1/2X2X5/16SLBB,1509,15th,5,modern
2L,2L2-1/2X2X5/16X3/4SLBB,1511,15th,5,modern
2L,2L2-1/2X2X5/16X3/8SLBB,1510,15th,5,modern
2L,2L2.5X1.5X0.1875,13672,ASD7,1,modern
2L,2L2.5X1.5X0.25,13671,ASD7,1,modern
2L,2L2.5X1.5X0.3125,13670,ASD7,1,modern
2L,2L2.5X2.5X0.1875,11236,LRFD1,4,modern
2L,2L2.5X2.5X0.25,11235,LRFD1,4,modern
2L,2L2.5X2.5X0.3125,11234,LRFD1,4,modern
2L,2L2.5X2.5X0.375,11233,LRFD1,4,modern
2L,2L2.5X2.5X0.5,13825,ASD7,1,modern
2L,2L2.5X2X0.1875,11304,LRFD1,4,modern
2L,2L2.5X2X0.25,11303,LRFD1,4,modern
2L,2L2.5X2X0.3125,11302,LRFD1,4,modern
2L,2L2X1.25X0.125,13678,ASD7,1,modern
2L,2L2X1.25X0.1875,13677,ASD7,1,modern
2L,2L2X1.25X0.25,13676,ASD7,1,modern
2L,2L2X1.5X0.125,13675,ASD7,1,modern
2L,2L2X1.5X0.1875,13674,ASD7,1,modern
2L,2L2X1.5X0.25,13673,ASD7,1,modern
2L,2L2X2X0.125,11242,LRFD1,4,modern
2L,2L2X2X0.1875,11241,LRFD1,4,modern
2L,2L2X2X0.25,11240,LRFD1,4,modern
2L,2L2X2X0.3125,11239,LRFD1,4,modern
2L,2L2X2X0.375,11238,LRFD1,4,modern
2L,2L2X2X1/4,1059,15th,5,modern
2L,2L2X2X1/4X3/4,1061,15th,5,modern
2L,2L2X2X1/4X3/8,1060,15th,5,modern
2L,2L2X2X3/16,1062,15th,5,modern
2L,2L2X2X3/16X3/4,1064,15th,5,modern
2L,2L2X2X3/16X3/8,1063,15th,5,modern
2L,2L2X2X3/8,1053,15th,5,modern
2L,2L2X2X3/8X3/4,1055,15th,5,modern
2L,2L2X2X3/8X3/8,1054,15th,5,modern
2L,2L2X2X5/16,1056,15th,5,modern
2L,2L2X2X5/16X3/4,1058,15th,5,modern
2L,2L2X2X5/16X3/8,1057,15th,5,modern
2L,2L3-1/2X2-1/2X1/2SLBB,1461,15th,4,modern
