family,designation,source_row_id,source_edition,A,d,W
2L,2L2-1/2X1-1/2X1/4LLBB,3321,14th,1.89,1.50,6.38
2L,2L2-1/2X1-1/2X1/4LLBB,1290,15th,1.89,2.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/4LLBB,3323,14th,1.89,1.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/4LLBB,1292,15th,1.89,2.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/8LLBB,3322,14th,1.89,1.50,6.38
2L,2L2-1/2X1-1/2X1/4X3/8LLBB,1291,15th,1.89,2.50,6.38
2L,2L2-1/2X1-1/2X3/16LLBB,3324,14th,1.45,1.50,4.88
2L,2L2-1/2X1-1/2X3/16LLBB,1293,15th,1.45,2.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/4LLBB,3326,14th,1.45,1.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/4LLBB,1295,15th,1.45,2.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/8LLBB,3325,14th,1.45,1.50,4.88
2L,2L2-1/2X1-1/2X3/16X3/8LLBB,1294,15th,1.45,2.50,4.88
2L,2L2-1/2X2X1/4LLBB,5301,13th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4LLBB,3315,14th,2.14,2.00,7.24
2L,2L2-1/2X2X1/4LLBB,1284,15th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4LLBB,9040,LRFD2,2.1300,2.5000,7.2400
2L,2L2-1/2X2X1/4LLBB,7246,LRFD3,2.14,2.5,7.3
2L,2L2-1/2X2X1/4X3/4LLBB,5303,13th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/4LLBB,3317,14th,2.14,2.00,7.24
2L,2L2-1/2X2X1/4X3/4LLBB,1286,15th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/4LLBB,9042,LRFD2,2.1300,2.5000,7.2400
2L,2L2-1/2X2X1/4X3/4LLBB,7248,LRFD3,2.14,2.5,7.3
2L,2L2-1/2X2X1/4X3/8LLBB,5302,13th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/8LLBB,3316,14th,2.14,2.00,7.24
2L,2L2-1/2X2X1/4X3/8LLBB,1285,15th,2.14,2.50,7.24
2L,2L2-1/2X2X1/4X3/8LLBB,9041,LRFD2,2.1300,2.5000,7.2400
2L,2L2-1/2X2X1/4X3/8LLBB,7247,LRFD3,2.14,2.5,7.3
2L,2L2-1/2X2X3/16LLBB,5304,13th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16LLBB,3318,14th,1.64,2.00,5.50
2L,2L2-1/2X2X3/16LLBB,1287,15th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16LLBB,9043,LRFD2,1.6200,2.5000,5.5000
2L,2L2-1/2X2X3/16LLBB,7249,LRFD3,1.64,2.5,5.57
2L,2L2-1/2X2X3/16X3/4LLBB,5306,13th,1.64,2.50,5.50
2L,2L2-1/2X2X3/16X3/4LLBB,3320,14th,1.64,2.00,5.50
