token,class,category,source
W18X40,W,,augmented
W 18X40,W,,augmented
W-18X40,W,,augmented
W_18X40,W,,augmented
WF18X40,W,,original
W18 X 40,W,,augmented
WF 18X40,W,,original
WF-18X40,W,,augmented
W 18 X 40,W,,augmented
W18X40 WF,W,,augmented
WF W18X40,W,,augmented
WF-W18X40,W,,augmented
A1064,A,,original
A A1064,A,,augmented
A1064 (A),A,,augmented
ASTM A1064,A,,augmented
A1064 Steel,A,,augmented
Grade A1064,A,,augmented
Mat'l A1064,A,,augmented
Steel A1064,A,,augmented
MATERIAL A1064,A,,augmented
A108,A,,original
A A108,A,,augmented
A108 (A),A,,augmented
ASTM A108,A,,augmented
A108 Steel,A,,augmented
Grade A108,A,,augmented
Mat'l A108,A,,augmented
Steel A108,A,,augmented
MATERIAL A108,A,,augmented
TSCUSTOM99,HSS,,augmented
HSSCUSTOM99,HSS,,original
TS CUSTOM99,HSS,,augmented
HSS CUSTOM99,HSS,,original
HSS-CUSTOM99,HSS,,augmented
HSS_CUSTOM99,HSS,,augmented
HSS HSSCUSTOM99,HSS,,augmented
HSS-HSSCUSTOM99,HSS,,augmented
HSSCUSTOM99 HSS,HSS,,augmented
HSSCUSTOM99 A500,HSS,,augmented
HSSCUSTOM99 Tube,HSS,,augmented
Tube HSSCUSTOM99,HSS,,augmented
Tube-HSSCUSTOM99,HSS,,augmented
A2,A,,original
A A2,A,,augmented
A2 (A),A,,augmented
ASTM A2,A,,augmented
A2 Steel,A,,augmented
Grade A2,A,,augmented
Mat'l A2,A,,augmented
Steel A2,A,,augmented
MATERIAL A2,A,,augmented
A3,A,,original
A A3,A,,augmented
A3 (A),A,,augmented
ASTM A3,A,,augmented
A3 Steel,A,,augmented
Grade A3,A,,augmented
Mat'l A3,A,,augmented
Steel A3,A,,augmented
MATERIAL A3,A,,augmented
A307,A,,original
A A307,A,,augmented
A307 (A),A,,augmented
ASTM A307,A,,augmented
A307 Steel,A,,augmented
Grade A307,A,,augmented
Mat'l A307,A,,augmented
Steel A307,A,,augmented
MATERIAL A307,A,,augmented
A325,A,,original
A A325,A,,augmented
A325 (A),A,,augmented
ASTM A325,A,,augmented
A325 Steel,A,,augmented
Grade A325,A,,augmented
Mat'l A325,A,,augmented
Steel A325,A,,augmented
MATERIAL A325,A,,augmented
A36,A,,original
A A36,A,,augmented
A36 (A),A,,augmented
ASTM A36,A,,augmented
A36 Steel,A,,augmented
Grade A36,A,,augmented
Mat'l A36,A,,augmented
Steel A36,A,,augmented
MATERIAL A36,A,,augmented
A500,A,,original
A A500,A,,augmented
A500 (A),A,,augmented
ASTM A500,A,,augmented
A500 Steel,A,,augmented
Grade A500,A,,augmented
Mat'l A500,A,,augmented
Steel A500,A,,augmented
MATERIAL A500,A,,augmented
A53,A,,original
A A53,A,,augmented
A53 (A),A,,augmented
ASTM A53,A,,augmented
A53 Steel,A,,augmented
Grade A53,A,,augmented
Mat'l A53,A,,augmented
Steel A53,A,,augmented
MATERIAL A53,A,,augmented
A568,A,,original
A A568,A,,augmented
A568 (A),A,,augmented
ASTM A568,A,,augmented
A568 Steel,A,,augmented
Grade A568,A,,augmented
Mat'l A568,A,,augmented
Steel A568,A,,augmented
MATERIAL A568,A,,augmented
A572,A,,original
A A572,A,,augmented
A572 (A),A,,augmented
ASTM A572,A,,augmented
A572 Steel,A,,augmented
Grade A572,A,,augmented
Mat'l A572,A,,augmented
Steel A572,A,,augmented
MATERIAL A572,A,,augmented
A588,A,,original
A A588,A,,augmented
A588 (A),A,,augmented
ASTM A588,A,,augmented
A588 Steel,A,,augmented
Grade A588,A,,augmented
Mat'l A588,A,,augmented
Steel A588,A,,augmented
MATERIAL A588,A,,augmented
A6,A,,original
A A6,A,,augmented
A6 (A),A,,augmented
ASTM A6,A,,augmented
A6 Steel,A,,augmented
Grade A6,A,,augmented
Mat'l A6,A,,augmented
Steel A6,A,,augmented
MATERIAL A6,A,,augmented
A615,A,,original
A A615,A,,augmented
A615 (A),A,,augmented
ASTM A615,A,,augmented
A615 Steel,A,,augmented
Grade A615,A,,augmented
Mat'l A615,A,,augmented
Steel A615,A,,augmented
MATERIAL A615,A,,augmented
A653,A,,original
A A653,A,,augmented
A653 (A),A,,augmented
ASTM A653,A,,augmented
A653 Steel,A,,augmented
Grade A653,A,,augmented
Mat'l A653,A,,augmented
Steel A653,A,,augmented
MATERIAL A653,A,,augmented
A706,A,,original
A A706,A,,augmented
A706 (A),A,,augmented
ASTM A706,A,,augmented
A706 Steel,A,,augmented
Grade A706,A,,augmented
Mat'l A706,A,,augmented
Steel A706,A,,augmented
MATERIAL A706,A,,augmented
A913,A,,original
A A913,A,,augmented
A913 (A),A,,augmented
ASTM A913,A,,augmented
A913 Steel,A,,augmented
Grade A913,A,,augmented
Mat'l A913,A,,augmented
Steel A913,A,,augmented
MATERIAL A913,A,,augmented
A970,A,,original
A A970,A,,augmented
A970 (A),A,,augmented
ASTM A970,A,,augmented
A970 Steel,A,,augmented
Grade A970,A,,augmented
Mat'l A970,A,,augmented
Steel A970,A,,augmented
MATERIAL A970,A,,augmented
A992,A,,original
A A992,A,,augmented
A992 (A),A,,augmented
ASTM A992,A,,augmented
A992 Steel,A,,augmented
Grade A992,A,,augmented
Mat'l A992,A,,augmented
Steel A992,A,,augmented
MATERIAL A992,A,,augmented
TS10X0,HSS,,augmented
HSS10X0,HSS,,original
TS 10X0,HSS,,augmented
HSS 10X0,HSS,,original
HSS-10X0,HSS,,augmented
HSS_10X0,HSS,,augmented
HSS10 X 0,HSS,,original
HSS 10 X 0,HSS,,original
HSS HSS10X0,HSS,,augmented
