token,normalized_token,target_section,source,reviewer_correction,validation_status,quantity,page_number,bbox,ocr_confidence,line_context
2L10X10X1 LL Angle,2L10X10X1LLANGLE,2L10X10X1,aisc_augmented,False,reference,,,,,
2l10x10x1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L-10X10X1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10X10XI,2L10X10XI,2L10X10X1,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X1,2LSHAPE2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10 X 10X1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
Double Angle-2L10X10X1,DOUBLEANGLE2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2LI0X10X1,2LI0X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10X10X1 Double Angle,2L10X10X1DOUBLEANGLE,2L10X10X1,aisc_augmented,False,reference,,,,,
2L 10X10X1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X1,2LSHAPE2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10X10X1 2L Shape,2L10X10X12LSHAPE,2L10X10X1,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X1,DOUBLEANGLE2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10XI0X1,2L10XI0X1,2L10X10X1,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X1 A36,DOUBLEANGLE2L10X10X1A36,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10×10×1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10 X 10 X 1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
LL Angle-2L10X10X1,LLANGLE2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L1OX10X1,2L1OX10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X1 ASTM A36,DOUBLEANGLE2L10X10X1ASTMA36,2L10X10X1,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L_10X10X1,2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X1,LLANGLE2L10X10X1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10X1OX1,2L10X1OX1,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10X10X1 A36,2L10X10X1A36,2L10X10X1,aisc_augmented,False,reference,,,,,
2L10X10X1 ASTM A36,2L10X10X1ASTMA36,2L10X10X1,aisc_augmented,False,reference,,,,,
2L 10 X 10 X 11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10XI1/4,2L10X10XI1/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10 X 10X11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L Shape-2L10X10X11/4,2LSHAPE2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4 A36,2L10X10X11/4A36,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L 10X10X11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10 X 10 X 11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4,DOUBLEANGLE2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L Shape 2L10X10X11/4,2LSHAPE2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
Double Angle 2L10X10X11/4 A36,DOUBLEANGLE2L10X10X11/4A36,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2LI0X10X11/4,2LI0X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
LL Angle 2L10X10X11/4,LLANGLE2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4 LL Angle,2L10X10X11/4LLANGLE,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L10X10X11/4 2L Shape,2L10X10X11/42LSHAPE,2L10X10X11/4,aisc_augmented,False,reference,,,,,
2L-10X10X11/4,2L10X10X11/4,2L10X10X11/4,aisc_augmented,False,reference,,,,,
