token,class,prefix,suffix,token_length,alpha_count,digit_count,special_char_count,x_count,contains_fraction,contains_decimal,contains_dash,contains_slash,contains_space,starts_with_letter,starts_with_digit,ends_with_digit,ends_with_letter,numeric_groups,alphabetic_groups,shape_family,material_hint,company_prefix,normalized_token,regex_signature,category,source
W44X408,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W44X408,A|N|A|N,,original
W 44X408,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44X408,A|SPACE|N|A|N,,original
W-44X408,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-44X408,A|SEP:-|N|A|N,,augmented
W_44X408,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_44X408,A|SEP:_|N|A|N,,augmented
WF44X408,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF44X408,A|N|A|N,,augmented
W44 X 408,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W44 X 408,A|N|SPACE|A|SPACE|N,,original
WF 44X408,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 44X408,A|SPACE|N|A|N,,augmented
WF-44X408,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-44X408,A|SEP:-|N|A|N,,augmented
W 44 X 408,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44 X 408,A|SPACE|N|SPACE|A|SPACE|N,,original
W44X408 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W44X408 WF,A|N|A|N|SPACE|A,,augmented
WF W44X408,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W44X408,A|SPACE|A|N|A|N,,augmented
WF-W44X408,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W44X408,A|SEP:-|A|N|A|N,,augmented
W44X368,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W44X368,A|N|A|N,,original
W 44X368,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44X368,A|SPACE|N|A|N,,original
W-44X368,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-44X368,A|SEP:-|N|A|N,,augmented
W_44X368,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_44X368,A|SEP:_|N|A|N,,augmented
WF44X368,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF44X368,A|N|A|N,,augmented
W44 X 368,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W44 X 368,A|N|SPACE|A|SPACE|N,,original
WF 44X368,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 44X368,A|SPACE|N|A|N,,augmented
WF-44X368,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-44X368,A|SEP:-|N|A|N,,augmented
W 44 X 368,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44 X 368,A|SPACE|N|SPACE|A|SPACE|N,,original
W44X368 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W44X368 WF,A|N|A|N|SPACE|A,,augmented
WF W44X368,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W44X368,A|SPACE|A|N|A|N,,augmented
WF-W44X368,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W44X368,A|SEP:-|A|N|A|N,,augmented
W44X335,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W44X335,A|N|A|N,,original
W 44X335,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44X335,A|SPACE|N|A|N,,original
W-44X335,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-44X335,A|SEP:-|N|A|N,,augmented
W_44X335,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_44X335,A|SEP:_|N|A|N,,augmented
WF44X335,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF44X335,A|N|A|N,,augmented
W44 X 335,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W44 X 335,A|N|SPACE|A|SPACE|N,,original
WF 44X335,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 44X335,A|SPACE|N|A|N,,augmented
WF-44X335,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-44X335,A|SEP:-|N|A|N,,augmented
W 44 X 335,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44 X 335,A|SPACE|N|SPACE|A|SPACE|N,,original
W44X335 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W44X335 WF,A|N|A|N|SPACE|A,,augmented
WF W44X335,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W44X335,A|SPACE|A|N|A|N,,augmented
WF-W44X335,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W44X335,A|SEP:-|A|N|A|N,,augmented
W44X290,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W44X290,A|N|A|N,,original
W 44X290,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44X290,A|SPACE|N|A|N,,original
W-44X290,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-44X290,A|SEP:-|N|A|N,,augmented
W_44X290,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_44X290,A|SEP:_|N|A|N,,augmented
WF44X290,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF44X290,A|N|A|N,,augmented
W44 X 290,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W44 X 290,A|N|SPACE|A|SPACE|N,,original
WF 44X290,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 44X290,A|SPACE|N|A|N,,augmented
WF-44X290,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-44X290,A|SEP:-|N|A|N,,augmented
W 44 X 290,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44 X 290,A|SPACE|N|SPACE|A|SPACE|N,,original
W44X290 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W44X290 WF,A|N|A|N|SPACE|A,,augmented
WF W44X290,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W44X290,A|SPACE|A|N|A|N,,augmented
WF-W44X290,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W44X290,A|SEP:-|A|N|A|N,,augmented
W44X262,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W44X262,A|N|A|N,,original
W 44X262,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44X262,A|SPACE|N|A|N,,original
W-44X262,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-44X262,A|SEP:-|N|A|N,,augmented
W_44X262,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_44X262,A|SEP:_|N|A|N,,augmented
WF44X262,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF44X262,A|N|A|N,,augmented
W44 X 262,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W44 X 262,A|N|SPACE|A|SPACE|N,,original
WF 44X262,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 44X262,A|SPACE|N|A|N,,augmented
WF-44X262,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-44X262,A|SEP:-|N|A|N,,augmented
W 44 X 262,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44 X 262,A|SPACE|N|SPACE|A|SPACE|N,,original
W44X262 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W44X262 WF,A|N|A|N|SPACE|A,,augmented
WF W44X262,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W44X262,A|SPACE|A|N|A|N,,augmented
WF-W44X262,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W44X262,A|SEP:-|A|N|A|N,,augmented
W44X230,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W44X230,A|N|A|N,,original
W 44X230,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44X230,A|SPACE|N|A|N,,original
W-44X230,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-44X230,A|SEP:-|N|A|N,,augmented
W_44X230,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_44X230,A|SEP:_|N|A|N,,augmented
WF44X230,W,WF,NONE,8,3,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,WF,WF44X230,A|N|A|N,,augmented
W44 X 230,W,W,NONE,9,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W44 X 230,A|N|SPACE|A|SPACE|N,,original
WF 44X230,W,WF,NONE,9,3,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,WF,WF 44X230,A|SPACE|N|A|N,,augmented
WF-44X230,W,WF,NONE,9,3,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,WF,WF-44X230,A|SEP:-|N|A|N,,augmented
W 44 X 230,W,W,NONE,10,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 44 X 230,A|SPACE|N|SPACE|A|SPACE|N,,original
W44X230 WF,W,W,WF,10,4,5,0,1,0,0,0,0,1,1,0,0,1,2,3,W,NONE,NONE,W44X230 WF,A|N|A|N|SPACE|A,,augmented
WF W44X230,W,WF,NONE,10,4,5,0,1,0,0,0,0,1,1,0,1,0,2,3,W,NONE,WF,WF W44X230,A|SPACE|A|N|A|N,,augmented
WF-W44X230,W,WF,NONE,10,4,5,1,1,0,0,1,0,0,1,0,1,0,2,3,W,NONE,WF,WF-W44X230,A|SEP:-|A|N|A|N,,augmented
W40X655,W,W,NONE,7,2,5,0,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W40X655,A|N|A|N,,original
W 40X655,W,W,NONE,8,2,5,0,1,0,0,0,0,1,1,0,1,0,2,2,W,NONE,NONE,W 40X655,A|SPACE|N|A|N,,original
W-40X655,W,W,NONE,8,2,5,1,1,0,0,1,0,0,1,0,1,0,2,2,W,NONE,NONE,W-40X655,A|SEP:-|N|A|N,,augmented
W_40X655,W,W,NONE,8,2,5,1,1,0,0,0,0,0,1,0,1,0,2,2,W,NONE,NONE,W_40X655,A|SEP:_|N|A|N,,augmented
