record_id,project_id,document_id,page_number,sheet_id,schedule_id,schedule_title_raw,schedule_class,region_bbox,location_or_grid_raw,location_or_grid_normalized,level_raw,level_normalized,raw_cell_text,canonical_section,catalog_valid,member_role,lifecycle_status,physical_semantics,member_extent,continuation_inheritance,physical_segment_count,plan_corroboration_status,explicit_quantity,count_candidate,exclusion_reason,source_cell_bbox,header_path,proposal_method,extraction_review_status,physical_review_status,reviewer_notes
REAL-Burrville_p28-001,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-6.5,A-6.5,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[269.8, 401.2, 282.4, 441.0]","[""COLUMN SCHEDULE"", ""Column Locations: A-6.5"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-002,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-7,A-7,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[339.8, 398.9, 352.3, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A-7"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-003,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-8,A-8,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[415.4, 398.9, 427.9, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A-8"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-004,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-9,A-9,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[486.6, 398.9, 499.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A-9"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-005,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-9',A-9',"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[558.6, 398.9, 571.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A-9'"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-006,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-10,A-10,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[630.6, 398.9, 643.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A-10"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-007,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-10.9,A-10.9,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[702.6, 398.9, 715.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A-10.9"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-008,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A-11.6,A-11.6,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[774.6, 398.9, 787.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A-11.6"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-009,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A.4'-0.7,A.4'-0.7,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X33,W10X33,True,column,unknown,unknown,,unknown,,unknown,,False,,"[846.6, 398.9, 859.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A.4'-0.7"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-010,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A.7-10.8,A.7-10.8,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X45,W10X45,True,column,unknown,unknown,,unknown,,unknown,,False,,"[918.6, 398.9, 931.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A.7-10.8"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
REAL-Burrville_p28-011,Burrville,REAL-Burrville,28,S-501,REAL-Burrville-p28-M1,COLUMN SCHEDULE,level_location_matrix,"[172.7, 140.6, 2555.1, 708.1]",A.7-11.3,A.7-11.3,"UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")","UPPER LEVEL (14' - 6"") -> MAIN ROOF (29' - 0"")",W10X45,W10X45,True,column,unknown,unknown,,unknown,,unknown,,False,,"[990.6, 398.9, 1003.2, 438.7]","[""COLUMN SCHEDULE"", ""Column Locations: A.7-11.3"", ""Level interval: UPPER LEVEL (14' - 6\"") -> MAIN ROOF (29' - 0\"")""]",rotated_label_in_ruled_strip_between_level_datums,PENDING_REVIEW,PENDING_REVIEW,
